id,Total Microseconds,Minute,Seconds,Value
6,1784,0,0.001784,509.0
7,2620,0,0.00262,512.0
8,3452,0,0.003452,513.0
9,4284,0,0.004284,510.0
10,5120,0,0.00512,512.0
11,5952,0,0.005952,512.0
12,6784,0,0.006784,510.0
13,7620,0,0.00762,508.0
14,8452,0,0.008452,511.0
15,9284,0,0.009284,510.0
16,10120,0,0.01012,509.0
17,10952,0,0.010952,512.0
18,11788,0,0.011788,512.0
19,12620,0,0.01262,506.0
20,13452,0,0.013452,510.0
21,14288,0,0.014288,511.0
22,15120,0,0.01512,511.0
23,15952,0,0.015952,509.0
24,16788,0,0.016788,512.0
25,17620,0,0.01762,511.0
26,18452,0,0.018452,510.0
27,19288,0,0.019288,513.0
28,20120,0,0.02012,509.0
29,20952,0,0.020952,504.0
30,21788,0,0.021788,513.0
31,22620,0,0.02262,512.0
32,23452,0,0.023452,508.0
33,24288,0,0.024288,512.0
34,25120,0,0.02512,510.0
35,25952,0,0.025952,510.0
36,26788,0,0.026788,510.0
37,27620,0,0.02762,511.0
38,28452,0,0.028452,509.0
39,29288,0,0.029288,504.0
40,30120,0,0.03012,511.0
41,30952,0,0.030952,509.0
42,31788,0,0.031788,505.0
43,32620,0,0.03262,510.0
44,33452,0,0.033452,513.0
45,34288,0,0.034288,508.0
46,35120,0,0.03512,513.0
47,35952,0,0.035952,511.0
48,36788,0,0.036788,508.0
49,37620,0,0.03762,507.0
50,38452,0,0.038452,510.0
51,39288,0,0.039288,506.0
52,40120,0,0.04012,513.0
53,40956,0,0.040956,512.0
54,41788,0,0.041788,512.0
55,42620,0,0.04262,510.0
56,43456,0,0.043456,512.0
57,44288,0,0.044288,508.0
58,45120,0,0.04512,508.0
59,45956,0,0.045956,508.0
60,46788,0,0.046788,508.0
61,47620,0,0.04762,505.0
62,48456,0,0.048456,513.0
63,49288,0,0.049288,513.0
64,50120,0,0.05012,508.0
65,50956,0,0.050956,512.0
66,51788,0,0.051788,513.0
67,52620,0,0.05262,509.0
68,53456,0,0.053456,514.0
69,54288,0,0.054288,511.0
70,55120,0,0.05512,512.0
71,55956,0,0.055956,509.0
72,56788,0,0.056788,512.0
73,57620,0,0.05762,510.0
74,58456,0,0.058456,511.0
75,59288,0,0.059288,512.0
76,60120,0,0.06012,511.0
77,60956,0,0.060956,508.0
78,61788,0,0.061788,507.0
79,62620,0,0.06262,508.0
80,63456,0,0.063456,508.0
81,64288,0,0.064288,510.0
82,65120,0,0.06512,511.0
83,65956,0,0.065956,509.0
84,66788,0,0.066788,512.0
85,67624,0,0.067624,512.0
86,68456,0,0.068456,511.0
87,69288,0,0.069288,511.0
88,70124,0,0.070124,511.0
89,70956,0,0.070956,510.0
90,71788,0,0.071788,509.0
91,72624,0,0.072624,507.0
92,73456,0,0.073456,510.0
93,74288,0,0.074288,510.0
94,75124,0,0.075124,513.0
95,75956,0,0.075956,513.0
96,76788,0,0.076788,508.0
97,77624,0,0.077624,510.0
98,78456,0,0.078456,509.0
99,79288,0,0.079288,508.0
100,80124,0,0.080124,511.0
101,80956,0,0.080956,509.0
102,81788,0,0.081788,511.0
103,82624,0,0.082624,511.0
104,83456,0,0.083456,512.0
105,84288,0,0.084288,512.0
106,85124,0,0.085124,508.0
107,85956,0,0.085956,513.0
108,86788,0,0.086788,510.0
109,87624,0,0.087624,509.0
110,88456,0,0.088456,509.0
111,89288,0,0.089288,510.0
112,90124,0,0.090124,507.0
113,90956,0,0.090956,513.0
114,91788,0,0.091788,513.0
115,92624,0,0.092624,509.0
116,93456,0,0.093456,508.0
117,94292,0,0.094292,514.0
118,95124,0,0.095124,513.0
119,95956,0,0.095956,508.0
120,96792,0,0.096792,512.0
121,97624,0,0.097624,509.0
122,98456,0,0.098456,509.0
123,99292,0,0.099292,510.0
124,100124,0,0.100124,512.0
125,100956,0,0.100956,511.0
126,101792,0,0.101792,513.0
127,102624,0,0.102624,511.0
128,103456,0,0.103456,507.0
129,104292,0,0.104292,511.0
130,105124,0,0.105124,511.0
131,105956,0,0.105956,511.0
132,106792,0,0.106792,510.0
133,107624,0,0.107624,509.0
134,108456,0,0.108456,505.0
135,109292,0,0.109292,510.0
136,110124,0,0.110124,515.0
137,110956,0,0.110956,510.0
138,111792,0,0.111792,512.0
139,112624,0,0.112624,503.0
140,113456,0,0.113456,510.0
141,114292,0,0.114292,510.0
142,115124,0,0.115124,506.0
143,115956,0,0.115956,509.0
144,116792,0,0.116792,511.0
145,117624,0,0.117624,510.0
146,118456,0,0.118456,512.0
147,119292,0,0.119292,512.0
148,120124,0,0.120124,506.0
149,120960,0,0.12096,512.0
150,121792,0,0.121792,513.0
151,122624,0,0.122624,507.0
152,123460,0,0.12346,509.0
