id,Total Microseconds,Minute,Seconds,Value
0,1048,0,0.001048,NaN
1,1784,0,0.001784,301.0
2,2620,0,0.00262,348.0
3,3452,0,0.003452,384.0
4,4284,0,0.004284,412.0
5,5120,0,0.00512,433.0
6,5952,0,0.005952,450.0
7,6784,0,0.006784,2.0
8,7620,0,0.00762,219.0
9,8452,0,0.008452,748.0
10,9284,0,0.009284,986.0
11,10120,0,0.01012,985.0
12,10952,0,0.010952,986.0
13,11788,0,0.011788,985.0
14,12620,0,0.01262,875.0
15,13452,0,0.013452,746.0
16,14288,0,0.014288,649.0
17,15120,0,0.01512,236.0
18,15952,0,0.015952,86.0
19,16788,0,0.016788,161.0
20,17620,0,0.01762,236.0
21,18452,0,0.018452,297.0
22,19288,0,0.019288,345.0
23,20120,0,0.02012,381.0
24,20952,0,0.020952,409.0
25,21788,0,0.021788,431.0
26,22620,0,0.02262,449.0
27,23452,0,0.023452,2.0
28,24288,0,0.024288,203.0
29,25120,0,0.02512,760.0
30,25952,0,0.025952,985.0
31,26788,0,0.026788,986.0
32,27620,0,0.02762,986.0
33,28452,0,0.028452,985.0
34,29288,0,0.029288,881.0
35,30120,0,0.03012,749.0
36,30952,0,0.030952,641.0
37,31788,0,0.031788,233.0
38,32620,0,0.03262,88.0
39,33452,0,0.033452,162.0
40,34288,0,0.034288,238.0
41,35120,0,0.03512,298.0
42,35952,0,0.035952,345.0
43,36788,0,0.036788,381.0
44,37620,0,0.03762,410.0
45,38452,0,0.038452,432.0
46,39288,0,0.039288,449.0
48,40956,0,0.040956,189.0
49,41788,0,0.041788,754.0
50,42620,0,0.04262,986.0
51,43456,0,0.043456,986.0
52,44288,0,0.044288,986.0
53,45120,0,0.04512,985.0
54,45956,0,0.045956,884.0
55,46788,0,0.046788,744.0
56,47620,0,0.04762,636.0
57,48456,0,0.048456,235.0
58,49288,0,0.049288,90.0
59,50120,0,0.05012,163.0
60,50956,0,0.050956,239.0
61,51788,0,0.051788,299.0
62,52620,0,0.05262,346.0
63,53456,0,0.053456,383.0
64,54288,0,0.054288,411.0
65,55120,0,0.05512,432.0
66,55956,0,0.055956,449.0
67,56788,0,0.056788,3.0
68,57620,0,0.05762,178.0
69,58456,0,0.058456,735.0
70,59288,0,0.059288,985.0
71,60120,0,0.06012,986.0
72,60956,0,0.060956,986.0
73,61788,0,0.061788,986.0
74,62620,0,0.06262,885.0
75,63456,0,0.063456,746.0
76,64288,0,0.064288,636.0
77,65124,0,0.065124,250.0
78,65956,0,0.065956,91.0
79,66788,0,0.066788,164.0
80,67624,0,0.067624,239.0
81,68456,0,0.068456,299.0
82,69288,0,0.069288,346.0
83,70124,0,0.070124,382.0
84,70956,0,0.070956,410.0
85,71788,0,0.071788,432.0
86,72624,0,0.072624,449.0
87,73456,0,0.073456,1.0
88,74288,0,0.074288,210.0
89,75124,0,0.075124,736.0
90,75956,0,0.075956,985.0
91,76788,0,0.076788,986.0
92,77624,0,0.077624,985.0
93,78456,0,0.078456,985.0
94,79288,0,0.079288,886.0
95,80124,0,0.080124,736.0
96,80956,0,0.080956,639.0
97,81788,0,0.081788,253.0
98,82624,0,0.082624,87.0
99,83456,0,0.083456,160.0
100,84288,0,0.084288,236.0
101,85124,0,0.085124,296.0
102,85956,0,0.085956,343.0
103,86788,0,0.086788,381.0
104,87624,0,0.087624,409.0
105,88456,0,0.088456,431.0
106,89288,0,0.089288,448.0
107,90124,0,0.090124,1.0
108,90956,0,0.090956,205.0
109,91792,0,0.091792,726.0
110,92624,0,0.092624,986.0
111,93456,0,0.093456,986.0
112,94292,0,0.094292,986.0
113,95124,0,0.095124,985.0
114,95956,0,0.095956,880.0
115,96792,0,0.096792,748.0
116,97624,0,0.097624,632.0
117,98456,0,0.098456,251.0
118,99292,0,0.099292,86.0
119,100124,0,0.100124,159.0
120,100956,0,0.100956,235.0
121,101792,0,0.101792,296.0
122,102624,0,0.102624,344.0
123,103456,0,0.103456,381.0
124,104292,0,0.104292,409.0
125,105124,0,0.105124,432.0
126,105956,0,0.105956,448.0
127,106792,0,0.106792,2.0
