id,Total Microseconds,Minute,Seconds,Value
0,1048,0,0.001048,NaN
1,1784,0,0.001784,975.0
2,2620,0,0.00262,907.0
3,3452,0,0.003452,775.0
4,4284,0,0.004284,673.0
5,5120,0,0.00512,603.0
6,5952,0,0.005952,540.0
7,6784,0,0.006784,231.0
8,7620,0,0.00762,248.0
9,8452,0,0.008452,303.0
10,9284,0,0.009284,348.0
11,10120,0,0.01012,385.0
12,10952,0,0.010952,413.0
13,11784,0,0.011784,434.0
14,12620,0,0.01262,451.0
15,13452,0,0.013452,464.0
16,14288,0,0.014288,6.0
17,15120,0,0.01512,2.0
18,15952,0,0.015952,417.0
19,16788,0,0.016788,865.0
20,17620,0,0.01762,985.0
21,18452,0,0.018452,975.0
22,19288,0,0.019288,909.0
23,20120,0,0.02012,784.0
24,20952,0,0.020952,684.0
25,21788,0,0.021788,606.0
26,22620,0,0.02262,542.0
27,23452,0,0.023452,229.0
28,24288,0,0.024288,242.0
29,25120,0,0.02512,297.0
30,25952,0,0.025952,344.0
31,26788,0,0.026788,381.0
32,27620,0,0.02762,410.0
33,28452,0,0.028452,433.0
34,29288,0,0.029288,450.0
35,30120,0,0.03012,463.0
36,30952,0,0.030952,38.0
37,31788,0,0.031788,3.0
38,32620,0,0.03262,408.0
39,33452,0,0.033452,872.0
40,34288,0,0.034288,985.0
41,35120,0,0.03512,952.0
42,35952,0,0.035952,915.0
43,36788,0,0.036788,793.0
44,37620,0,0.03762,688.0
45,38452,0,0.038452,607.0
46,39288,0,0.039288,537.0
47,40120,0,0.04012,224.0
48,40956,0,0.040956,237.0
49,41788,0,0.041788,294.0
50,42620,0,0.04262,342.0
51,43456,0,0.043456,379.0
52,44288,0,0.044288,408.0
53,45120,0,0.04512,431.0
54,45956,0,0.045956,448.0
55,46788,0,0.046788,462.0
56,47620,0,0.04762,99.0
57,48456,0,0.048456,3.0
58,49288,0,0.049288,394.0
59,50120,0,0.05012,864.0
60,50956,0,0.050956,986.0
61,51788,0,0.051788,953.0
62,52620,0,0.05262,923.0
63,53456,0,0.053456,794.0
64,54288,0,0.054288,688.0
65,55120,0,0.05512,602.0
66,55956,0,0.055956,545.0
67,56788,0,0.056788,228.0
68,57620,0,0.05762,239.0
69,58456,0,0.058456,295.0
70,59288,0,0.059288,342.0
71,60120,0,0.06012,380.0
72,60956,0,0.060956,409.0
73,61788,0,0.061788,432.0
74,62620,0,0.06262,449.0
75,63456,0,0.063456,462.0
76,64288,0,0.064288,178.0
77,65120,0,0.06512,2.0
78,65956,0,0.065956,387.0
79,66788,0,0.066788,846.0
80,67624,0,0.067624,986.0
81,68456,0,0.068456,961.0
82,69288,0,0.069288,925.0
83,70124,0,0.070124,800.0
84,70956,0,0.070956,688.0
85,71788,0,0.071788,613.0
86,72624,0,0.072624,551.0
87,73456,0,0.073456,230.0
88,74288,0,0.074288,236.0
89,75124,0,0.075124,292.0
90,75956,0,0.075956,341.0
91,76788,0,0.076788,379.0
92,77624,0,0.077624,408.0
93,78456,0,0.078456,431.0
94,79288,0,0.079288,448.0
95,80124,0,0.080124,462.0
96,80956,0,0.080956,239.0
97,81788,0,0.081788,2.0
98,82624,0,0.082624,393.0
99,83456,0,0.083456,836.0
100,84288,0,0.084288,986.0
101,85124,0,0.085124,964.0
102,85956,0,0.085956,930.0
103,86788,0,0.086788,796.0
104,87624,0,0.087624,698.0
105,88456,0,0.088456,616.0
106,89288,0,0.089288,559.0
107,90124,0,0.090124,228.0
108,90956,0,0.090956,230.0
109,91788,0,0.091788,287.0
110,92624,0,0.092624,337.0
111,93456,0,0.093456,376.0
112,94292,0,0.094292,406.0
113,95124,0,0.095124,429.0
114,95956,0,0.095956,447.0
115,96792,0,0.096792,461.0
116,97624,0,0.097624,302.0
117,98456,0,0.098456,2.0
118,99292,0,0.099292,385.0
119,100124,0,0.100124,829.0
120,100956,0,0.100956,986.0
121,101792,0,0.101792,963.0
122,102624,0,0.102624,922.0
123,103456,0,0.103456,808.0
124,104292,0,0.104292,698.0
125,105124,0,0.105124,624.0
126,105956,0,0.105956,535.0
127,106792,0,0.106792,230.0
128,107624,0,0.107624,232.0
129,108456,0,0.108456,289.0
130,109292,0,0.109292,337.0
131,110124,0,0.110124,376.0
132,110956,0,0.110956,406.0
133,111792,0,0.111792,429.0
134,112624,0,0.112624,447.0
135,113456,0,0.113456,461.0
136,114292,0,0.114292,341.0
137,115124,0,0.115124,2.0
138,115956,0,0.115956,367.0
139,116792,0,0.116792,832.0
140,117624,0,0.117624,985.0
141,118456,0,0.118456,976.0
142,119292,0,0.119292,934.0
143,120124,0,0.120124,809.0
144,120960,0,0.12096,706.0
145,121792,0,0.121792,601.0
146,122624,0,0.122624,536.0
147,123460,0,0.12346,236.0
148,124292,0,0.124292,234.0
149,125124,0,0.125124,290.0
150,125960,0,0.12596,339.0
151,126792,0,0.126792,377.0
152,127624,0,0.127624,406.0
153,128460,0,0.12846,430.0
154,129292,0,0.129292,448.0
155,130124,0,0.130124,461.0
156,130960,0,0.13096,473.0
157,131792,0,0.131792,2.0
158,132624,0,0.132624,336.0
159,133460,0,0.13346,827.0
160,134292,0,0.134292,985.0
161,135124,0,0.135124,980.0
162,135960,0,0.13596,940.0
163,136792,0,0.136792,820.0
164,137624,0,0.137624,689.0
165,138460,0,0.13846,607.0
166,139292,0,0.139292,545.0
167,140124,0,0.140124,241.0
168,140960,0,0.14096,235.0
169,141792,0,0.141792,291.0
170,142624,0,0.142624,339.0
171,143460,0,0.14346,377.0
172,144292,0,0.144292,407.0
173,145124,0,0.145124,430.0
174,145960,0,0.14596,448.0
175,146792,0,0.146792,461.0
176,147628,0,0.147628,472.0
177,148460,0,0.14846,2.0
178,149292,0,0.149292,339.0
179,150128,0,0.150128,818.0
180,150960,0,0.15096,986.0
181,151792,0,0.151792,985.0
182,152628,0,0.152628,945.0
183,153460,0,0.15346,797.0
184,154292,0,0.154292,694.0
185,155128,0,0.155128,615.0
186,155960,0,0.15596,563.0
187,156792,0,0.156792,241.0
188,157628,0,0.157628,233.0
189,158460,0,0.15846,288.0
190,159292,0,0.159292,337.0
191,160128,0,0.160128,376.0
192,160960,0,0.16096,405.0
193,161792,0,0.161792,429.0
194,162628,0,0.162628,447.0
195,163460,0,0.16346,461.0
196,164292,0,0.164292,472.0
197,165128,0,0.165128,1.0
198,165960,0,0.16596,338.0
199,166792,0,0.166792,826.0
200,167628,0,0.167628,986.0
201,168460,0,0.16846,986.0
202,169292,0,0.169292,928.0
203,170128,0,0.170128,809.0
204,170960,0,0.17096,698.0
205,171792,0,0.171792,631.0
206,172628,0,0.172628,570.0
207,173460,0,0.17346,241.0
208,174296,0,0.174296,227.0
209,175128,0,0.175128,284.0
210,175960,0,0.17596,334.0
211,176796,0,0.176796,373.0
212,177628,0,0.177628,403.0
213,178460,0,0.17846,428.0
214,179296,0,0.179296,446.0
215,180128,0,0.180128,460.0
216,180960,0,0.18096,471.0
217,181796,0,0.181796,2.0
218,182628,0,0.182628,325.0
219,183460,0,0.18346,822.0
220,184296,0,0.184296,986.0
221,185128,0,0.185128,959.0
222,185960,0,0.18596,937.0
223,186796,0,0.186796,822.0
224,187628,0,0.187628,715.0
225,188460,0,0.18846,636.0
226,189296,0,0.189296,563.0
227,190128,0,0.190128,239.0
228,190960,0,0.19096,224.0
229,191796,0,0.191796,281.0
230,192628,0,0.192628,332.0
231,193460,0,0.19346,371.0
232,194296,0,0.194296,403.0
233,195128,0,0.195128,426.0
234,195960,0,0.19596,444.0
235,196796,0,0.196796,459.0
236,197628,0,0.197628,470.0
237,198460,0,0.19846,1.0
238,199296,0,0.199296,313.0
239,200128,0,0.200128,824.0
240,200964,0,0.200964,986.0
241,201796,0,0.201796,961.0
242,202628,0,0.202628,946.0
243,203464,0,0.203464,829.0
244,204296,0,0.204296,718.0
245,205128,0,0.205128,630.0
246,205964,0,0.205964,553.0
247,206796,0,0.206796,246.0
248,207628,0,0.207628,224.0
249,208464,0,0.208464,280.0
250,209296,0,0.209296,332.0
251,210128,0,0.210128,371.0
252,210964,0,0.210964,402.0
253,211796,0,0.211796,426.0
254,212628,0,0.212628,445.0
255,213464,0,0.213464,460.0
256,214296,0,0.214296,471.0
257,215128,0,0.215128,2.0
258,215964,0,0.215964,297.0
259,216796,0,0.216796,787.0
260,217628,0,0.217628,985.0
261,218464,0,0.218464,980.0
262,219296,0,0.219296,948.0
263,220128,0,0.220128,831.0
264,220964,0,0.220964,719.0
265,221796,0,0.221796,621.0
266,222628,0,0.222628,557.0
267,223464,0,0.223464,253.0
268,224296,0,0.224296,223.0
269,225128,0,0.225128,279.0
270,225964,0,0.225964,330.0
271,226796,0,0.226796,370.0
272,227632,0,0.227632,401.0
273,228464,0,0.228464,426.0
274,229296,0,0.229296,445.0
275,230132,0,0.230132,459.0
276,230964,0,0.230964,470.0
277,231796,0,0.231796,2.0
278,232632,0,0.232632,315.0
279,233464,0,0.233464,771.0
280,234296,0,0.234296,986.0
281,235132,0,0.235132,979.0
282,235964,0,0.235964,949.0
283,236796,0,0.236796,830.0
284,237632,0,0.237632,708.0
285,238464,0,0.238464,624.0
286,239296,0,0.239296,563.0
287,240132,0,0.240132,257.0
288,240964,0,0.240964,223.0
289,241796,0,0.241796,278.0
290,242632,0,0.242632,329.0
291,243464,0,0.243464,370.0
292,244296,0,0.244296,401.0
293,245132,0,0.245132,425.0
294,245964,0,0.245964,444.0
295,246796,0,0.246796,458.0
296,247632,0,0.247632,469.0
297,248464,0,0.248464,2.0
298,249296,0,0.249296,304.0
299,250132,0,0.250132,770.0
300,250964,0,0.250964,986.0
301,251796,0,0.251796,986.0
302,252632,0,0.252632,952.0
303,253464,0,0.253464,821.0
304,254300,0,0.2543,708.0
305,255132,0,0.255132,623.0
306,255964,0,0.255964,553.0
307,256800,0,0.2568,255.0
308,257632,0,0.257632,222.0
309,258464,0,0.258464,277.0
310,259300,0,0.2593,329.0
311,260132,0,0.260132,369.0
312,260964,0,0.260964,401.0
313,261800,0,0.2618,425.0
314,262632,0,0.262632,444.0
315,263464,0,0.263464,459.0
316,264300,0,0.2643,471.0
317,265132,0,0.265132,2.0
318,265964,0,0.265964,283.0
319,266800,0,0.2668,784.0
320,267632,0,0.267632,985.0
321,268464,0,0.268464,978.0
322,269300,0,0.2693,949.0
323,270132,0,0.270132,825.0
324,270964,0,0.270964,717.0
325,271800,0,0.2718,618.0
326,272632,0,0.272632,548.0
327,273464,0,0.273464,262.0
328,274300,0,0.2743,223.0
329,275132,0,0.275132,279.0
330,275964,0,0.275964,330.0
331,276800,0,0.2768,370.0
332,277632,0,0.277632,401.0
333,278464,0,0.278464,425.0
334,279300,0,0.2793,444.0
335,280132,0,0.280132,459.0
336,280968,0,0.280968,470.0
337,281800,0,0.2818,2.0
338,282632,0,0.282632,262.0
339,283468,0,0.283468,786.0
340,284300,0,0.2843,986.0
341,285132,0,0.285132,983.0
342,285968,0,0.285968,952.0
343,286800,0,0.2868,828.0
344,287632,0,0.287632,711.0
345,288468,0,0.288468,616.0
346,289300,0,0.2893,552.0
347,290132,0,0.290132,266.0
348,290968,0,0.290968,225.0
349,291800,0,0.2918,280.0
350,292632,0,0.292632,330.0
351,293468,0,0.293468,370.0
352,294300,0,0.2943,401.0
353,295132,0,0.295132,426.0
354,295968,0,0.295968,444.0
355,296800,0,0.2968,458.0
356,297632,0,0.297632,470.0
357,298468,0,0.298468,1.0
358,299300,0,0.2993,242.0
359,300132,0,0.300132,775.0
360,300968,0,0.300968,986.0
361,301800,0,0.3018,980.0
362,302632,0,0.302632,956.0
363,303468,0,0.303468,827.0
364,304300,0,0.3043,708.0
365,305136,0,0.305136,621.0
366,305968,0,0.305968,562.0
367,306800,0,0.3068,276.0
368,307636,0,0.307636,222.0
369,308468,0,0.308468,277.0
370,309300,0,0.3093,328.0
371,310136,0,0.310136,369.0
372,310968,0,0.310968,400.0
373,311800,0,0.3118,424.0
374,312636,0,0.312636,443.0
375,313468,0,0.313468,458.0
376,314300,0,0.3143,470.0
377,315136,0,0.315136,1.0
378,315968,0,0.315968,228.0
379,316800,0,0.3168,751.0
380,317636,0,0.317636,987.0
381,318472,0,0.318472,977.0
382,319300,0,0.3193,948.0
383,320136,0,0.320136,828.0
384,320968,0,0.320968,715.0
385,321800,0,0.3218,635.0
386,322636,0,0.322636,572.0
387,323468,0,0.323468,282.0
388,324300,0,0.3243,220.0
389,325136,0,0.325136,274.0
390,325968,0,0.325968,326.0
391,326800,0,0.3268,367.0
392,327636,0,0.327636,399.0
393,328468,0,0.328468,424.0
394,329300,0,0.3293,443.0
395,330136,0,0.330136,458.0
396,330968,0,0.330968,469.0
397,331800,0,0.3318,2.0
398,332636,0,0.332636,230.0
399,333468,0,0.333468,738.0
400,334304,0,0.334304,986.0
401,335136,0,0.335136,981.0
402,335968,0,0.335968,939.0
403,336804,0,0.336804,820.0
404,337636,0,0.337636,712.0
405,338468,0,0.338468,638.0
406,339304,0,0.339304,586.0
407,340136,0,0.340136,285.0
408,340968,0,0.340968,220.0
409,341804,0,0.341804,274.0
410,342636,0,0.342636,326.0
411,343468,0,0.343468,367.0
412,344304,0,0.344304,399.0
413,345136,0,0.345136,424.0
414,345968,0,0.345968,442.0
415,346804,0,0.346804,458.0
416,347636,0,0.347636,469.0
417,348468,0,0.348468,1.0
418,349304,0,0.349304,225.0
419,350136,0,0.350136,744.0
420,350968,0,0.350968,979.0
421,351804,0,0.351804,970.0
422,352636,0,0.352636,950.0
423,353468,0,0.353468,847.0
424,354304,0,0.354304,726.0
425,355136,0,0.355136,643.0
426,355968,0,0.355968,561.0
427,356804,0,0.356804,281.0
428,357636,0,0.357636,215.0
429,358468,0,0.358468,270.0
430,359304,0,0.359304,322.0
431,360136,0,0.360136,364.0
432,360972,0,0.360972,397.0
433,361804,0,0.361804,422.0
434,362636,0,0.362636,442.0
435,363472,0,0.363472,457.0
436,364304,0,0.364304,468.0
437,365136,0,0.365136,2.0
438,365972,0,0.365972,211.0
