id,Total Microseconds,Minute,Seconds,Value
0,1048,1.7466667E-5,0.001048,517.0
1,1784,2.9733334E-5,0.001784,453.0
2,2620,4.3666667E-5,0.00262,460.0
3,3522,5.87E-5,0.003522,457.0
4,1784,2.9733334E-5,0.001784,549.0
5,2620,4.3666667E-5,0.00262,526.0
6,3452,5.7533332E-5,0.003452,545.0
7,4284,7.14E-5,0.004284,522.0
8,5120,8.533333E-5,0.00512,526.0
9,5952,9.92E-5,0.005952,475.0
10,6784,1.13066664E-4,0.006784,468.0
11,7620,1.27E-4,0.00762,462.0
12,8452,1.4086667E-4,0.008452,501.0
13,9284,1.5473334E-4,0.009284,503.0
14,10120,1.6866667E-4,0.01012,513.0
15,10952,1.8253333E-4,0.010952,534.0
16,11788,1.9646667E-4,0.011788,493.0
17,12620,2.1033334E-4,0.01262,531.0
18,13452,2.242E-4,0.013452,488.0
19,14288,2.3813333E-4,0.014288,522.0
20,15120,2.52E-4,0.01512,509.0
21,15952,2.6586666E-4,0.015952,532.0
22,16788,2.798E-4,0.016788,520.0
23,17620,2.9366667E-4,0.01762,496.0
24,18452,3.0753334E-4,0.018452,507.0
25,19288,3.2146668E-4,0.019288,498.0
26,20120,3.3533334E-4,0.02012,494.0
27,20952,3.492E-4,0.020952,498.0
28,21788,3.6313332E-4,0.021788,507.0
29,22620,3.77E-4,0.02262,554.0
30,23452,3.9086665E-4,0.023452,531.0
31,24288,4.048E-4,0.024288,552.0
32,25120,4.1866666E-4,0.02512,543.0
33,25952,4.3253333E-4,0.025952,540.0
34,26788,4.4646667E-4,0.026788,547.0
35,27620,4.6033334E-4,0.02762,507.0
36,28452,4.742E-4,0.028452,503.0
37,29288,4.8813334E-4,0.029288,474.0
38,30120,5.02E-4,0.03012,498.0
39,30952,5.158667E-4,0.030952,511.0
40,31788,5.298E-4,0.031788,493.0
41,32620,5.4366665E-4,0.03262,506.0
42,33452,5.5753335E-4,0.033452,512.0
43,34288,5.714667E-4,0.034288,523.0
44,35120,5.853333E-4,0.03512,506.0
45,35952,5.992E-4,0.035952,501.0
46,36788,6.131333E-4,0.036788,518.0
47,37620,6.27E-4,0.03762,485.0
48,38452,6.4086664E-4,0.038452,525.0
49,39288,6.548E-4,0.039288,492.0
50,40120,6.686667E-4,0.04012,509.0
51,40956,6.826E-4,0.040956,487.0
52,41788,6.9646665E-4,0.041788,511.0
53,42620,7.1033335E-4,0.04262,528.0
54,43456,7.242667E-4,0.043456,508.0
55,44288,7.381333E-4,0.044288,520.0
56,45120,7.52E-4,0.04512,506.0
57,45956,7.659333E-4,0.045956,520.0
58,46788,7.798E-4,0.046788,541.0
59,47620,7.936667E-4,0.04762,478.0
60,48456,8.076E-4,0.048456,504.0
61,49288,8.214667E-4,0.049288,510.0
62,50120,8.353333E-4,0.05012,483.0
63,50956,8.4926665E-4,0.050956,510.0
64,51788,8.6313335E-4,0.051788,513.0
65,52620,8.77E-4,0.05262,500.0
66,53456,8.909333E-4,0.053456,516.0
67,54288,9.048E-4,0.054288,545.0
68,55120,9.1866666E-4,0.05512,520.0
69,55956,9.326E-4,0.055956,504.0
70,56788,9.464667E-4,0.056788,545.0
71,57620,9.6033333E-4,0.05762,519.0
72,58456,9.742667E-4,0.058456,512.0
73,59288,9.881334E-4,0.059288,524.0
74,60120,0.001002,0.06012,474.0
75,60956,0.0010159333,0.060956,500.0
76,61788,0.0010298,0.061788,510.0
77,62620,0.0010436666,0.06262,493.0
78,63456,0.0010576,0.063456,489.0
79,64288,0.0010714667,0.064288,496.0
80,65120,0.0010853333,0.06512,500.0
81,65956,0.0010992667,0.065956,503.0
82,66788,0.0011131334,0.066788,518.0
83,67624,0.0011270667,0.067624,510.0
84,68456,0.0011409334,0.068456,504.0
85,69288,0.0011548,0.069288,544.0
86,70124,0.0011687333,0.070124,514.0
87,70956,0.0011826,0.070956,514.0
88,71788,0.0011964666,0.071788,520.0
89,72624,0.0012104,0.072624,488.0
90,73456,0.0012242667,0.073456,489.0
91,74288,0.0012381333,0.074288,516.0
92,75124,0.0012520667,0.075124,486.0
93,75956,0.0012659334,0.075956,511.0
94,76788,0.0012798,0.076788,525.0
95,77624,0.0012937334,0.077624,521.0
96,78456,0.0013076,0.078456,522.0
97,79288,0.0013214666,0.079288,532.0
98,80124,0.0013354,0.080124,522.0
99,80956,0.0013492666,0.080956,536.0
100,81788,0.0013631333,0.081788,544.0
101,82624,0.0013770667,0.082624,516.0
102,83456,0.0013909333,0.083456,516.0
103,84288,0.0014048,0.084288,493.0
104,85124,0.0014187334,0.085124,495.0
105,85956,0.0014326,0.085956,498.0
106,86788,0.0014464667,0.086788,487.0
107,87624,0.0014604,0.087624,524.0
108,88456,0.0014742666,0.088456,503.0
109,89288,0.0014881333,0.089288,520.0
110,90124,0.0015020666,0.090124,515.0
111,90956,0.0015159333,0.090956,519.0
112,91788,0.0015298,0.091788,525.0
113,92624,0.0015437333,0.092624,526.0
114,93456,0.0015576,0.093456,546.0
115,94292,0.0015715334,0.094292,519.0
116,95124,0.0015854,0.095124,505.0
117,95956,0.0015992667,0.095956,544.0
118,96792,0.0016132,0.096792,512.0
119,97624,0.0016270666,0.097624,520.0
120,98456,0.0016409333,0.098456,512.0
121,99292,0.0016548666,0.099292,482.0
122,100124,0.0016687333,0.100124,465.0
123,100956,0.0016826,0.100956,458.0
124,101792,0.0016965333,0.101792,496.0
125,102624,0.0017104,0.102624,474.0
126,103456,0.0017242667,0.103456,500.0
127,104292,0.0017382,0.104292,526.0
128,105124,0.0017520667,0.105124,519.0
129,105956,0.0017659334,0.105956,537.0
130,106792,0.0017798666,0.106792,543.0
131,107624,0.0017937333,0.107624,555.0
132,108456,0.0018076,0.108456,517.0
133,109292,0.0018215333,0.109292,506.0
134,110124,0.0018354,0.110124,540.0
135,110956,0.0018492667,0.110956,491.0
136,111792,0.0018632,0.111792,511.0
137,112624,0.0018770667,0.112624,493.0
138,113456,0.0018909334,0.113456,513.0
139,114292,0.0019048667,0.114292,524.0
140,115124,0.0019187334,0.115124,523.0
141,115956,0.0019326,0.115956,517.0
142,116792,0.0019465333,0.116792,488.0
143,117624,0.0019604,0.117624,504.0
144,118456,0.0019742667,0.118456,523.0
145,119292,0.0019882,0.119292,531.0
146,120124,0.0020020667,0.120124,499.0
147,120960,0.002016,0.12096,500.0
148,121792,0.0020298667,0.121792,507.0
149,122624,0.0020437334,0.122624,517.0
150,123460,0.0020576667,0.12346,472.0
151,124292,0.0020715334,0.124292,519.0
152,125124,0.0020854,0.125124,518.0
153,125960,0.0020993333,0.12596,520.0
154,126792,0.0021132,0.126792,513.0
155,127624,0.0021270667,0.127624,530.0
156,128460,0.002141,0.12846,558.0
157,129292,0.0021548667,0.129292,546.0
158,130124,0.0021687334,0.130124,559.0
159,130960,0.0021826667,0.13096,529.0
160,131792,0.0021965334,0.131792,496.0
161,132624,0.0022104,0.132624,510.0
162,133460,0.0022243334,0.13346,501.0
163,134292,0.0022382,0.134292,507.0
164,135124,0.0022520667,0.135124,511.0
165,135960,0.002266,0.13596,479.0
166,136792,0.0022798667,0.136792,506.0
167,137624,0.0022937334,0.137624,509.0
168,138460,0.0023076667,0.13846,514.0
169,139292,0.0023215334,0.139292,474.0
170,140124,0.0023354,0.140124,513.0
171,140960,0.0023493334,0.14096,517.0
172,141792,0.0023632,0.141792,503.0
173,142624,0.0023770668,0.142624,490.0
174,143460,0.002391,0.14346,472.0
175,144292,0.0024048667,0.144292,509.0
176,145128,0.0024188,0.145128,541.0
177,145960,0.0024326667,0.14596,547.0
178,146792,0.0024465334,0.146792,510.0
179,147628,0.0024604667,0.147628,479.0
180,148460,0.0024743334,0.14846,518.0
181,149292,0.0024882,0.149292,557.0
182,150128,0.0025021334,0.150128,564.0
183,150960,0.002516,0.15096,498.0
184,151792,0.0025298668,0.151792,515.0
185,152628,0.0025438,0.152628,553.0
186,153460,0.0025576667,0.15346,537.0
187,154292,0.0025715334,0.154292,491.0
188,155128,0.0025854667,0.155128,456.0
189,155960,0.0025993334,0.15596,461.0
190,156792,0.0026132,0.156792,510.0
191,157628,0.0026271334,0.157628,506.0
192,158460,0.002641,0.15846,477.0
193,159292,0.0026548668,0.159292,459.0
194,160128,0.0026688,0.160128,536.0
195,160960,0.0026826668,0.16096,568.0
196,161792,0.0026965332,0.161792,525.0
197,162628,0.0027104667,0.162628,495.0
198,163460,0.0027243334,0.16346,492.0
199,164292,0.0027382,0.164292,558.0
200,165128,0.0027521334,0.165128,549.0
201,165960,0.002766,0.16596,512.0
202,166792,0.0027798666,0.166792,482.0
203,167628,0.0027938,0.167628,526.0
204,168460,0.0028076668,0.16846,543.0
205,169292,0.0028215332,0.169292,514.0
206,170128,0.0028354668,0.170128,492.0
207,170960,0.0028493332,0.17096,505.0
208,171796,0.0028632667,0.171796,536.0
209,172628,0.0028771334,0.172628,533.0
210,173460,0.002891,0.17346,485.0
211,174296,0.0029049334,0.174296,484.0
212,175128,0.0029188,0.175128,517.0
213,175960,0.0029326666,0.17596,540.0
214,176796,0.0029466,0.176796,489.0
215,177628,0.0029604668,0.177628,461.0
216,178460,0.0029743332,0.17846,471.0
217,179296,0.0029882668,0.179296,534.0
218,180128,0.0030021332,0.180128,518.0
219,180960,0.003016,0.18096,476.0
220,181796,0.0030299334,0.181796,497.0
221,182628,0.0030438,0.182628,527.0
222,183460,0.0030576666,0.18346,556.0
223,184296,0.0030716,0.184296,515.0
224,185128,0.0030854666,0.185128,522.0
225,185960,0.0030993333,0.18596,546.0
226,186796,0.0031132668,0.186796,553.0
227,187628,0.0031271332,0.187628,537.0
228,188460,0.003141,0.18846,477.0
229,189296,0.0031549332,0.189296,512.0
230,190128,0.0031688,0.190128,532.0
231,190960,0.0031826666,0.19096,544.0
232,191796,0.0031966,0.191796,486.0
233,192628,0.0032104666,0.192628,458.0
234,193460,0.0032243333,0.19346,516.0
235,194296,0.0032382666,0.194296,534.0
236,195128,0.0032521333,0.195128,510.0
237,195960,0.003266,0.19596,476.0
238,196796,0.0032799332,0.196796,509.0
239,197628,0.0032938,0.197628,533.0
240,198464,0.0033077332,0.198464,528.0
241,199296,0.0033216,0.199296,498.0
242,200128,0.0033354666,0.200128,483.0
243,200964,0.0033494,0.200964,533.0
244,201796,0.0033632666,0.201796,532.0
245,202628,0.0033771333,0.202628,485.0
246,203464,0.0033910666,0.203464,468.0
