id,Total Microseconds,Minute,Seconds,Value
0,1048,0,0.001048,NaN
1,1784,0,0.001784,497.0
2,2620,0,0.00262,497.0
3,3452,0,0.003452,497.0
4,4284,0,0.004284,498.0
5,5120,0,0.00512,510.0
6,5952,0,0.005952,521.0
7,6784,0,0.006784,528.0
8,7620,0,0.00762,531.0
9,8452,0,0.008452,530.0
10,9284,0,0.009284,526.0
11,10120,0,0.01012,522.0
12,10952,0,0.010952,523.0
13,11784,0,0.011784,523.0
14,12620,0,0.01262,525.0
15,13452,0,0.013452,514.0
16,14288,0,0.014288,502.0
17,15120,0,0.01512,493.0
18,15952,0,0.015952,492.0
19,16788,0,0.016788,495.0
20,17620,0,0.01762,496.0
21,18452,0,0.018452,496.0
22,19288,0,0.019288,497.0
23,20120,0,0.02012,497.0
24,20952,0,0.020952,497.0
25,21788,0,0.021788,509.0
26,22620,0,0.02262,520.0
27,23452,0,0.023452,527.0
28,24288,0,0.024288,527.0
29,25120,0,0.02512,524.0
30,25952,0,0.025952,523.0
31,26788,0,0.026788,524.0
32,27620,0,0.02762,524.0
33,28452,0,0.028452,525.0
34,29288,0,0.029288,524.0
35,30120,0,0.03012,510.0
36,30952,0,0.030952,498.0
37,31788,0,0.031788,493.0
38,32620,0,0.03262,492.0
39,33452,0,0.033452,495.0
40,34288,0,0.034288,497.0
41,35120,0,0.03512,498.0
42,35952,0,0.035952,498.0
43,36788,0,0.036788,497.0
44,37620,0,0.03762,499.0
45,38452,0,0.038452,510.0
46,39288,0,0.039288,519.0
47,40120,0,0.04012,527.0
48,40956,0,0.040956,529.0
49,41788,0,0.041788,527.0
50,42620,0,0.04262,523.0
51,43456,0,0.043456,523.0
52,44288,0,0.044288,524.0
53,45120,0,0.04512,524.0
54,45956,0,0.045956,523.0
55,46788,0,0.046788,513.0
56,47620,0,0.04762,501.0
57,48456,0,0.048456,493.0
58,49288,0,0.049288,491.0
59,50120,0,0.05012,495.0
60,50956,0,0.050956,497.0
61,51788,0,0.051788,498.0
62,52620,0,0.05262,497.0
63,53456,0,0.053456,496.0
64,54288,0,0.054288,495.0
65,55120,0,0.05512,507.0
66,55956,0,0.055956,519.0
67,56788,0,0.056788,528.0
68,57620,0,0.05762,530.0
69,58456,0,0.058456,527.0
70,59288,0,0.059288,523.0
71,60120,0,0.06012,523.0
72,60956,0,0.060956,523.0
73,61788,0,0.061788,524.0
74,62620,0,0.06262,521.0
75,63456,0,0.063456,509.0
76,64288,0,0.064288,499.0
77,65124,0,0.065124,494.0
78,65956,0,0.065956,490.0
79,66788,0,0.066788,492.0
80,67624,0,0.067624,494.0
81,68456,0,0.068456,497.0
82,69288,0,0.069288,479.0
83,70124,0,0.070124,499.0
84,70956,0,0.070956,500.0
85,71788,0,0.071788,509.0
86,72624,0,0.072624,518.0
87,73456,0,0.073456,526.0
88,74288,0,0.074288,530.0
89,75124,0,0.075124,527.0
90,75956,0,0.075956,524.0
91,76788,0,0.076788,522.0
92,77624,0,0.077624,524.0
93,78456,0,0.078456,523.0
94,79288,0,0.079288,522.0
95,80124,0,0.080124,509.0
96,80956,0,0.080956,499.0
97,81788,0,0.081788,492.0
98,82624,0,0.082624,490.0
99,83456,0,0.083456,497.0
100,84288,0,0.084288,498.0
101,85124,0,0.085124,498.0
102,85956,0,0.085956,499.0
103,86788,0,0.086788,498.0
104,87624,0,0.087624,497.0
105,88456,0,0.088456,508.0
106,89288,0,0.089288,521.0
107,90124,0,0.090124,528.0
108,90956,0,0.090956,530.0
109,91788,0,0.091788,527.0
110,92624,0,0.092624,524.0
111,93456,0,0.093456,523.0
112,94292,0,0.094292,524.0
113,95124,0,0.095124,526.0
114,95956,0,0.095956,526.0
115,96792,0,0.096792,514.0
116,97624,0,0.097624,501.0
117,98456,0,0.098456,492.0
118,99292,0,0.099292,491.0
119,100124,0,0.100124,495.0
120,100956,0,0.100956,497.0
121,101792,0,0.101792,499.0
122,102624,0,0.102624,499.0
123,103456,0,0.103456,499.0
124,104292,0,0.104292,498.0
125,105124,0,0.105124,509.0
126,105956,0,0.105956,520.0
127,106792,0,0.106792,525.0
128,107624,0,0.107624,528.0
129,108456,0,0.108456,527.0
130,109292,0,0.109292,525.0
131,110124,0,0.110124,522.0
132,110956,0,0.110956,521.0
133,111792,0,0.111792,522.0
134,112624,0,0.112624,522.0
135,113456,0,0.113456,514.0
136,114292,0,0.114292,504.0
137,115124,0,0.115124,495.0
138,115956,0,0.115956,493.0
139,116792,0,0.116792,496.0
140,117624,0,0.117624,498.0
141,118456,0,0.118456,498.0
142,119292,0,0.119292,499.0
143,120124,0,0.120124,498.0
144,120960,0,0.12096,500.0
145,121792,0,0.121792,510.0
146,122624,0,0.122624,521.0
147,123460,0,0.12346,529.0
148,124292,0,0.124292,530.0
149,125124,0,0.125124,528.0
150,125960,0,0.12596,526.0
151,126792,0,0.126792,526.0
152,127624,0,0.127624,525.0
153,128460,0,0.12846,525.0
154,129292,0,0.129292,526.0
155,130124,0,0.130124,515.0
156,130960,0,0.13096,504.0
157,131792,0,0.131792,492.0
158,132624,0,0.132624,486.0
159,133460,0,0.13346,492.0
160,134292,0,0.134292,498.0
161,135124,0,0.135124,501.0
162,135960,0,0.13596,500.0
163,136792,0,0.136792,499.0
164,137624,0,0.137624,498.0
165,138460,0,0.13846,509.0
166,139292,0,0.139292,521.0
167,140124,0,0.140124,528.0
168,140960,0,0.14096,531.0
169,141792,0,0.141792,530.0
170,142624,0,0.142624,528.0
171,143460,0,0.14346,527.0
172,144292,0,0.144292,526.0
173,145128,0,0.145128,524.0
174,145960,0,0.14596,524.0
175,146792,0,0.146792,513.0
176,147628,0,0.147628,502.0
177,148460,0,0.14846,495.0
178,149292,0,0.149292,493.0
179,150128,0,0.150128,494.0
180,150960,0,0.15096,494.0
181,151792,0,0.151792,496.0
182,152628,0,0.152628,497.0
183,153460,0,0.15346,498.0
184,154292,0,0.154292,497.0
185,155128,0,0.155128,509.0
186,155960,0,0.15596,522.0
187,156792,0,0.156792,531.0
188,157628,0,0.157628,534.0
189,158460,0,0.15846,531.0
190,159292,0,0.159292,528.0
191,160128,0,0.160128,527.0
192,160960,0,0.16096,529.0
193,161792,0,0.161792,527.0
194,162628,0,0.162628,527.0
195,163460,0,0.16346,515.0
196,164292,0,0.164292,501.0
197,165128,0,0.165128,493.0
198,165960,0,0.16596,491.0
199,166792,0,0.166792,493.0
200,167628,0,0.167628,497.0
201,168460,0,0.16846,497.0
202,169292,0,0.169292,497.0
203,170128,0,0.170128,495.0
204,170960,0,0.17096,494.0
205,171796,0,0.171796,504.0
206,172628,0,0.172628,513.0
207,173460,0,0.17346,528.0
208,174296,0,0.174296,534.0
209,175128,0,0.175128,532.0
210,175960,0,0.17596,528.0
211,176796,0,0.176796,527.0
212,177628,0,0.177628,525.0
213,178460,0,0.17846,526.0
214,179296,0,0.179296,525.0
215,180128,0,0.180128,513.0
216,180960,0,0.18096,501.0
217,181796,0,0.181796,495.0
218,182628,0,0.182628,490.0
219,183460,0,0.18346,497.0
220,184296,0,0.184296,501.0
221,185128,0,0.185128,499.0
222,185960,0,0.18596,498.0
223,186796,0,0.186796,497.0
224,187628,0,0.187628,497.0
225,188460,0,0.18846,506.0
226,189296,0,0.189296,519.0
227,190128,0,0.190128,528.0
228,190960,0,0.19096,530.0
229,191796,0,0.191796,529.0
230,192628,0,0.192628,526.0
231,193460,0,0.19346,523.0
232,194296,0,0.194296,523.0
233,195128,0,0.195128,525.0
234,195960,0,0.19596,527.0
235,196796,0,0.196796,516.0
236,197628,0,0.197628,504.0
237,198460,0,0.19846,498.0
238,199296,0,0.199296,494.0
239,200128,0,0.200128,497.0
240,200964,0,0.200964,495.0
241,201796,0,0.201796,487.0
242,202628,0,0.202628,497.0
243,203464,0,0.203464,496.0
244,204296,0,0.204296,496.0
245,205128,0,0.205128,503.0
246,205964,0,0.205964,516.0
247,206796,0,0.206796,528.0
248,207628,0,0.207628,532.0
249,208464,0,0.208464,531.0
250,209296,0,0.209296,528.0
251,210128,0,0.210128,520.0
252,210964,0,0.210964,520.0
253,211796,0,0.211796,527.0
254,212628,0,0.212628,525.0
255,213464,0,0.213464,514.0
256,214296,0,0.214296,502.0
257,215128,0,0.215128,490.0
258,215964,0,0.215964,489.0
259,216796,0,0.216796,498.0
260,217628,0,0.217628,498.0
261,218464,0,0.218464,491.0
262,219296,0,0.219296,498.0
263,220128,0,0.220128,492.0
264,220964,0,0.220964,489.0
265,221796,0,0.221796,511.0
266,222628,0,0.222628,525.0
267,223464,0,0.223464,532.0
268,224296,0,0.224296,533.0
269,225128,0,0.225128,526.0
270,225964,0,0.225964,521.0
271,226796,0,0.226796,526.0
272,227632,0,0.227632,527.0
273,228464,0,0.228464,527.0
274,229296,0,0.229296,527.0
275,230132,0,0.230132,512.0
276,230964,0,0.230964,499.0
277,231796,0,0.231796,496.0
278,232632,0,0.232632,492.0
279,233464,0,0.233464,495.0
280,234296,0,0.234296,497.0
281,235132,0,0.235132,497.0
282,235964,0,0.235964,491.0
283,236796,0,0.236796,490.0
284,237632,0,0.237632,496.0
285,238464,0,0.238464,511.0
286,239296,0,0.239296,522.0
287,240132,0,0.240132,528.0
288,240964,0,0.240964,532.0
289,241796,0,0.241796,533.0
290,242632,0,0.242632,530.0
291,243464,0,0.243464,528.0
292,244296,0,0.244296,526.0
293,245132,0,0.245132,525.0
294,245964,0,0.245964,524.0
295,246796,0,0.246796,515.0
296,247632,0,0.247632,503.0
297,248464,0,0.248464,495.0
298,249296,0,0.249296,491.0
299,250132,0,0.250132,494.0
300,250964,0,0.250964,497.0
301,251800,0,0.2518,499.0
302,252632,0,0.252632,500.0
303,253464,0,0.253464,501.0
304,254300,0,0.2543,500.0
305,255132,0,0.255132,508.0
306,255964,0,0.255964,517.0
307,256800,0,0.2568,524.0
308,257632,0,0.257632,528.0
309,258464,0,0.258464,528.0
