id,Total Microseconds,Minute,Seconds,Value
0,1048,0,0.001048,511
1,1784,0,0.001784,510
2,2620,0,0.00262,510
3,3452,0,0.003452,511
4,4284,0,0.004284,513
5,5120,0,0.00512,512
6,5952,0,0.005952,515
7,1048,0,0.001048,5510
8,1784,0,0.001784,509
9,2620,0,0.00262,508
10,3452,0,0.003452,509
11,4284,0,0.004284,512
12,5120,0,0.00512,515
13,5952,0,0.005952,514
14,6784,0,0.006784,512
15,7620,0,0.00762,510
16,8452,0,0.008452,508
17,9284,0,0.009284,509
18,10120,0,0.01012,511
19,10952,0,0.010952,513
20,11784,0,0.011784,513
21,12620,0,0.01262,512
22,13452,0,0.013452,511
23,14288,0,0.014288,511
24,15120,0,0.01512,512
25,15952,0,0.015952,513
26,16788,0,0.016788,511
27,17620,0,0.01762,511
28,18452,0,0.018452,511
29,19288,0,0.019288,510
30,20120,0,0.02012,511
31,20952,0,0.020952,512
32,21788,0,0.021788,513
33,22620,0,0.02262,512
34,23452,0,0.023452,510
35,24288,0,0.024288,510
36,25120,0,0.02512,510
37,25952,0,0.025952,512
38,26788,0,0.026788,513
39,27620,0,0.02762,512
40,28452,0,0.028452,510
41,29288,0,0.029288,508
42,30120,0,0.03012,510
43,30952,0,0.030952,513
44,31788,0,0.031788,513
45,32620,0,0.03262,513
46,33452,0,0.033452,513
47,34288,0,0.034288,510
48,35120,0,0.03512,509
49,35952,0,0.035952,510
50,36788,0,0.036788,510
51,37620,0,0.03762,510
52,38456,0,0.038456,510
53,39288,0,0.039288,515
54,40120,0,0.04012,514
55,40956,0,0.040956,509
56,41788,0,0.041788,509
57,42620,0,0.04262,508
58,43456,0,0.043456,510
59,44288,0,0.044288,514
60,45120,0,0.04512,512
61,45956,0,0.045956,509
62,46788,0,0.046788,512
63,47620,0,0.04762,511
64,48456,0,0.048456,509
65,49288,0,0.049288,511
66,50120,0,0.05012,513
67,50956,0,0.050956,508
68,51788,0,0.051788,508
69,52620,0,0.05262,509
70,53456,0,0.053456,510
71,54288,0,0.054288,509
72,55120,0,0.05512,514
73,55956,0,0.055956,512
74,56788,0,0.056788,509
75,57620,0,0.05762,512
76,58456,0,0.058456,512
77,59288,0,0.059288,511
78,60120,0,0.06012,511
79,60956,0,0.060956,515
80,61788,0,0.061788,512
81,62620,0,0.06262,510
82,63456,0,0.063456,512
83,64288,0,0.064288,513
84,65120,0,0.06512,509
85,65956,0,0.065956,513
86,66788,0,0.066788,515
87,67624,0,0.067624,511
88,68456,0,0.068456,510
89,69288,0,0.069288,510
90,70124,0,0.070124,510
91,70956,0,0.070956,508
92,71788,0,0.071788,513
93,72624,0,0.072624,515
94,73456,0,0.073456,511
95,74288,0,0.074288,511
96,75124,0,0.075124,511
97,75956,0,0.075956,510
98,76788,0,0.076788,509
99,77624,0,0.077624,513
100,78456,0,0.078456,512
101,79288,0,0.079288,510
102,80124,0,0.080124,512
103,80956,0,0.080956,512
104,81788,0,0.081788,512
105,82624,0,0.082624,512
106,83456,0,0.083456,513
107,84288,0,0.084288,511
108,85124,0,0.085124,510
109,85956,0,0.085956,511
110,86788,0,0.086788,512
111,87624,0,0.087624,512
112,88456,0,0.088456,513
113,89288,0,0.089288,514
114,90124,0,0.090124,510
115,90956,0,0.090956,510
116,91788,0,0.091788,510
117,92624,0,0.092624,512
118,93456,0,0.093456,510
119,94292,0,0.094292,511
120,95124,0,0.095124,512
121,95956,0,0.095956,509
122,96792,0,0.096792,511
123,97624,0,0.097624,512
124,98456,0,0.098456,512
125,99292,0,0.099292,508
126,100124,0,0.100124,510
127,100956,0,0.100956,511
128,101792,0,0.101792,510
129,102624,0,0.102624,512
130,103456,0,0.103456,513
131,104292,0,0.104292,510
132,105124,0,0.105124,505
133,105956,0,0.105956,509
134,106792,0,0.106792,512
135,107624,0,0.107624,512
136,108456,0,0.108456,514
137,109292,0,0.109292,513
