id,Total Microseconds,Minute,Seconds,Value
0,1048,0,0.001048,512.0
1,1784,0,0.001784,513.0
2,2620,0,0.00262,515.0
3,3452,0,0.003452,511.0
4,4284,0,0.004284,507.0
5,5120,0,0.00512,510.0
6,5952,0,0.005952,511.0
7,1048,0,0.001048,5510.0
8,1784,0,0.001784,510.0
9,2620,0,0.00262,506.0
10,3452,0,0.003452,513.0
11,4284,0,0.004284,515.0
12,5120,0,0.00512,510.0
13,5952,0,0.005952,510.0
14,6784,0,0.006784,511.0
15,7620,0,0.00762,509.0
16,8452,0,0.008452,509.0
17,9284,0,0.009284,509.0
18,10120,0,0.01012,512.0
19,10952,0,0.010952,509.0
20,11784,0,0.011784,511.0
21,12620,0,0.01262,510.0
22,13452,0,0.013452,509.0
23,14288,0,0.014288,509.0
24,15120,0,0.01512,510.0
25,15952,0,0.015952,517.0
26,16788,0,0.016788,510.0
27,17620,0,0.01762,508.0
28,18452,0,0.018452,511.0
29,19288,0,0.019288,510.0
30,20120,0,0.02012,512.0
31,20952,0,0.020952,502.0
32,21788,0,0.021788,509.0
33,22620,0,0.02262,510.0
34,23452,0,0.023452,494.0
35,24288,0,0.024288,512.0
36,25120,0,0.02512,515.0
37,25952,0,0.025952,502.0
38,26788,0,0.026788,508.0
39,27620,0,0.02762,512.0
40,28452,0,0.028452,515.0
41,29288,0,0.029288,484.0
42,30120,0,0.03012,518.0
43,30952,0,0.030952,515.0
44,31788,0,0.031788,515.0
45,32620,0,0.03262,517.0
46,33452,0,0.033452,517.0
47,34288,0,0.034288,509.0
48,35120,0,0.03512,512.0
49,35952,0,0.035952,509.0
50,36788,0,0.036788,498.0
51,37620,0,0.03762,511.0
52,38456,0,0.038456,515.0
53,39288,0,0.039288,512.0
54,40120,0,0.04012,511.0
55,40956,0,0.040956,510.0
56,41788,0,0.041788,511.0
57,42620,0,0.04262,513.0
58,43456,0,0.043456,512.0
59,44288,0,0.044288,513.0
60,45120,0,0.04512,513.0
61,45956,0,0.045956,513.0
62,46788,0,0.046788,511.0
63,47620,0,0.04762,516.0
64,48456,0,0.048456,508.0
65,49288,0,0.049288,508.0
66,50120,0,0.05012,516.0
67,50956,0,0.050956,510.0
68,51788,0,0.051788,509.0
69,52620,0,0.05262,511.0
70,53456,0,0.053456,508.0
71,54288,0,0.054288,511.0
72,55120,0,0.05512,511.0
73,55956,0,0.055956,511.0
74,56788,0,0.056788,509.0
75,57620,0,0.05762,508.0
76,58456,0,0.058456,504.0
77,59288,0,0.059288,511.0
78,60120,0,0.06012,512.0
79,60956,0,0.060956,510.0
80,61788,0,0.061788,509.0
81,62620,0,0.06262,512.0
82,63456,0,0.063456,511.0
83,64288,0,0.064288,512.0
84,65120,0,0.06512,512.0
85,65956,0,0.065956,506.0
86,66788,0,0.066788,509.0
87,67624,0,0.067624,512.0
88,68456,0,0.068456,513.0
89,69288,0,0.069288,512.0
90,70124,0,0.070124,513.0
91,70956,0,0.070956,508.0
92,71788,0,0.071788,508.0
93,72624,0,0.072624,513.0
94,73456,0,0.073456,516.0
95,74288,0,0.074288,515.0
96,75124,0,0.075124,513.0
97,75956,0,0.075956,510.0
98,76788,0,0.076788,515.0
99,77624,0,0.077624,512.0
100,78456,0,0.078456,513.0
101,79288,0,0.079288,512.0
102,80124,0,0.080124,511.0
103,80956,0,0.080956,512.0
104,81788,0,0.081788,512.0
105,82624,0,0.082624,515.0
106,83456,0,0.083456,511.0
107,84288,0,0.084288,511.0
108,85124,0,0.085124,515.0
109,85956,0,0.085956,511.0
110,86788,0,0.086788,510.0
111,87624,0,0.087624,508.0
112,88456,0,0.088456,510.0
113,89288,0,0.089288,511.0
114,90124,0,0.090124,500.0
115,90956,0,0.090956,512.0
116,91792,0,0.091792,512.0
117,92624,0,0.092624,504.0
118,93456,0,0.093456,511.0
119,94292,0,0.094292,511.0
120,95124,0,0.095124,512.0
121,95956,0,0.095956,520.0
122,96792,0,0.096792,511.0
123,97624,0,0.097624,510.0
124,98456,0,0.098456,510.0
125,99292,0,0.099292,512.0
126,100124,0,0.100124,514.0
127,100956,0,0.100956,501.0
128,101792,0,0.101792,504.0
129,102624,0,0.102624,510.0
130,103456,0,0.103456,512.0
131,104292,0,0.104292,512.0
132,105124,0,0.105124,509.0
133,105956,0,0.105956,517.0
134,106792,0,0.106792,506.0
135,107624,0,0.107624,509.0
136,108456,0,0.108456,509.0
137,109292,0,0.109292,513.0
138,110124,0,0.110124,513.0
139,110956,0,0.110956,515.0
140,111792,0,0.111792,508.0
141,112624,0,0.112624,520.0
142,113456,0,0.113456,513.0
143,114292,0,0.114292,512.0
144,115124,0,0.115124,511.0
145,115956,0,0.115956,509.0
