id,Total Microseconds,Minute,Seconds,Value
0,1048,1.7466667E-5,0.001048,NaN
1,1784,2.9733334E-5,0.001784,524.0
2,2620,4.3666667E-5,0.00262,558.0
3,3452,5.7533332E-5,0.003452,547.0
4,4284,7.14E-5,0.004284,525.0
5,5120,8.533333E-5,0.00512,536.0
6,5952,9.92E-5,0.005952,526.0
7,6784,1.13066664E-4,0.006784,510.0
8,7620,1.27E-4,0.00762,494.0
9,8452,1.4086667E-4,0.008452,498.0
10,9284,1.5473334E-4,0.009284,464.0
11,10120,1.6866667E-4,0.01012,481.0
12,10952,1.8253333E-4,0.010952,495.0
13,11788,1.9646667E-4,0.011788,509.0
14,12620,2.1033334E-4,0.01262,509.0
15,13452,2.242E-4,0.013452,498.0
16,14288,2.3813333E-4,0.014288,506.0
17,15120,2.52E-4,0.01512,497.0
18,15952,2.6586666E-4,0.015952,513.0
19,16788,2.798E-4,0.016788,496.0
20,17620,2.9366667E-4,0.01762,521.0
21,18452,3.0753334E-4,0.018452,516.0
22,19288,3.2146668E-4,0.019288,510.0
23,20120,3.3533334E-4,0.02012,512.0
24,20952,3.492E-4,0.020952,510.0
25,21788,3.6313332E-4,0.021788,523.0
26,22620,3.77E-4,0.02262,512.0
27,23452,3.9086665E-4,0.023452,515.0
28,24288,4.048E-4,0.024288,507.0
29,25120,4.1866666E-4,0.02512,497.0
30,25952,4.3253333E-4,0.025952,506.0
31,26788,4.4646667E-4,0.026788,496.0
32,27620,4.6033334E-4,0.02762,498.0
33,28452,4.742E-4,0.028452,516.0
34,29288,4.8813334E-4,0.029288,517.0
35,30120,5.02E-4,0.03012,513.0
36,30952,5.158667E-4,0.030952,534.0
37,31788,5.298E-4,0.031788,540.0
38,32620,5.4366665E-4,0.03262,496.0
39,33452,5.5753335E-4,0.033452,490.0
40,34288,5.714667E-4,0.034288,523.0
41,35120,5.853333E-4,0.03512,519.0
42,35952,5.992E-4,0.035952,508.0
43,36788,6.131333E-4,0.036788,509.0
44,37620,6.27E-4,0.03762,515.0
45,38452,6.4086664E-4,0.038452,487.0
46,39288,6.548E-4,0.039288,494.0
47,40120,6.686667E-4,0.04012,544.0
48,40956,6.826E-4,0.040956,550.0
49,41788,6.9646665E-4,0.041788,524.0
50,42620,7.1033335E-4,0.04262,535.0
51,43456,7.242667E-4,0.043456,531.0
52,44288,7.381333E-4,0.044288,503.0
53,45120,7.52E-4,0.04512,488.0
54,45956,7.659333E-4,0.045956,538.0
55,46788,7.798E-4,0.046788,527.0
56,47620,7.936667E-4,0.04762,491.0
57,48456,8.076E-4,0.048456,499.0
58,49288,8.214667E-4,0.049288,506.0
59,50120,8.353333E-4,0.05012,499.0
60,50956,8.4926665E-4,0.050956,496.0
61,51788,8.6313335E-4,0.051788,552.0
62,52620,8.77E-4,0.05262,557.0
63,53456,8.909333E-4,0.053456,527.0
64,54288,9.048E-4,0.054288,519.0
65,55120,9.1866666E-4,0.05512,516.0
66,55956,9.326E-4,0.055956,523.0
67,56788,9.464667E-4,0.056788,539.0
68,57620,9.6033333E-4,0.05762,495.0
69,58456,9.742667E-4,0.058456,481.0
70,59288,9.881334E-4,0.059288,516.0
71,60120,0.001002,0.06012,495.0
72,60956,0.0010159333,0.060956,476.0
73,61788,0.0010298,0.061788,504.0
74,62620,0.0010436666,0.06262,523.0
75,63456,0.0010576,0.063456,489.0
76,64288,0.0010714667,0.064288,471.0
77,65120,0.0010853333,0.06512,498.0
78,65956,0.0010992667,0.065956,523.0
79,66788,0.0011131334,0.066788,527.0
80,67624,0.0011270667,0.067624,523.0
81,68456,0.0011409334,0.068456,512.0
82,69288,0.0011548,0.069288,517.0
83,70124,0.0011687333,0.070124,525.0
84,70956,0.0011826,0.070956,535.0
85,71788,0.0011964666,0.071788,549.0
86,72624,0.0012104,0.072624,520.0
87,73456,0.0012242667,0.073456,507.0
88,74288,0.0012381333,0.074288,492.0
89,75124,0.0012520667,0.075124,477.0
90,75956,0.0012659334,0.075956,502.0
91,76788,0.0012798,0.076788,494.0
92,77624,0.0012937334,0.077624,488.0
93,78456,0.0013076,0.078456,522.0
94,79288,0.0013214666,0.079288,546.0
95,80124,0.0013354,0.080124,550.0
96,80956,0.0013492666,0.080956,532.0
97,81788,0.0013631333,0.081788,521.0
98,82624,0.0013770667,0.082624,522.0
99,83456,0.0013909333,0.083456,493.0
100,84288,0.0014048,0.084288,505.0
101,85124,0.0014187334,0.085124,486.0
102,85956,0.0014326,0.085956,494.0
103,86788,0.0014464667,0.086788,526.0
104,87624,0.0014604,0.087624,522.0
105,88456,0.0014742666,0.088456,516.0
106,89288,0.0014881333,0.089288,517.0
107,90124,0.0015020666,0.090124,510.0
108,90956,0.0015159333,0.090956,513.0
109,91792,0.0015298667,0.091792,536.0
110,92624,0.0015437333,0.092624,521.0
111,93456,0.0015576,0.093456,528.0
112,94292,0.0015715334,0.094292,506.0
113,95124,0.0015854,0.095124,511.0
114,95956,0.0015992667,0.095956,507.0
115,96792,0.0016132,0.096792,500.0
116,97624,0.0016270666,0.097624,522.0
117,98456,0.0016409333,0.098456,508.0
118,99292,0.0016548666,0.099292,509.0
119,100124,0.0016687333,0.100124,518.0
120,100956,0.0016826,0.100956,502.0
121,101792,0.0016965333,0.101792,478.0
122,102624,0.0017104,0.102624,480.0
123,103456,0.0017242667,0.103456,559.0
124,104292,0.0017382,0.104292,580.0
125,105124,0.0017520667,0.105124,537.0
126,105956,0.0017659334,0.105956,536.0
127,106792,0.0017798666,0.106792,521.0
128,107624,0.0017937333,0.107624,497.0
129,108456,0.0018076,0.108456,508.0
130,109292,0.0018215333,0.109292,501.0
131,110124,0.0018354,0.110124,519.0
132,110956,0.0018492667,0.110956,510.0
133,111792,0.0018632,0.111792,515.0
134,112624,0.0018770667,0.112624,518.0
135,113456,0.0018909334,0.113456,507.0
136,114292,0.0019048667,0.114292,485.0
137,115124,0.0019187334,0.115124,508.0
138,115956,0.0019326,0.115956,516.0
139,116792,0.0019465333,0.116792,534.0
140,117624,0.0019604,0.117624,546.0
141,118456,0.0019742667,0.118456,509.0
142,119292,0.0019882,0.119292,479.0
143,120124,0.0020020667,0.120124,480.0
144,120960,0.002016,0.12096,508.0
145,121792,0.0020298667,0.121792,522.0
146,122624,0.0020437334,0.122624,524.0
147,123460,0.0020576667,0.12346,519.0
148,124292,0.0020715334,0.124292,522.0
149,125124,0.0020854,0.125124,520.0
150,125960,0.0020993333,0.12596,501.0
151,126792,0.0021132,0.126792,507.0
152,127624,0.0021270667,0.127624,523.0
153,128460,0.002141,0.12846,514.0
154,129292,0.0021548667,0.129292,529.0
155,130124,0.0021687334,0.130124,559.0
156,130960,0.0021826667,0.13096,498.0
157,131792,0.0021965334,0.131792,524.0
158,132624,0.0022104,0.132624,511.0
159,133460,0.0022243334,0.13346,492.0
160,134292,0.0022382,0.134292,523.0
161,135124,0.0022520667,0.135124,523.0
162,135960,0.002266,0.13596,502.0
163,136792,0.0022798667,0.136792,453.0
164,137624,0.0022937334,0.137624,475.0
165,138460,0.0023076667,0.13846,510.0
166,139292,0.0023215334,0.139292,509.0
167,140124,0.0023354,0.140124,505.0
168,140960,0.0023493334,0.14096,508.0
169,141792,0.0023632,0.141792,549.0
170,142624,0.0023770668,0.142624,566.0
171,143460,0.002391,0.14346,548.0
172,144292,0.0024048667,0.144292,525.0
173,145124,0.0024187334,0.145124,509.0
174,145960,0.0024326667,0.14596,529.0
175,146792,0.0024465334,0.146792,499.0
176,147628,0.0024604667,0.147628,504.0
177,148460,0.0024743334,0.14846,524.0
178,149292,0.0024882,0.149292,507.0
179,150128,0.0025021334,0.150128,481.0
180,150960,0.002516,0.15096,481.0
181,151792,0.0025298668,0.151792,538.0
182,152628,0.0025438,0.152628,526.0
183,153460,0.0025576667,0.15346,507.0
184,154292,0.0025715334,0.154292,539.0
185,155128,0.0025854667,0.155128,523.0
186,155960,0.0025993334,0.15596,509.0
187,156792,0.0026132,0.156792,501.0
188,157628,0.0026271334,0.157628,501.0
189,158460,0.002641,0.15846,509.0
190,159292,0.0026548668,0.159292,523.0
191,160128,0.0026688,0.160128,551.0
192,160960,0.0026826668,0.16096,504.0
193,161792,0.0026965332,0.161792,462.0
194,162628,0.0027104667,0.162628,509.0
195,163460,0.0027243334,0.16346,539.0
196,164292,0.0027382,0.164292,526.0
197,165128,0.0027521334,0.165128,502.0
198,165960,0.002766,0.16596,520.0
199,166792,0.0027798666,0.166792,515.0
200,167628,0.0027938,0.167628,515.0
201,168460,0.0028076668,0.16846,571.0
202,169292,0.0028215332,0.169292,524.0
203,170128,0.0028354668,0.170128,530.0
204,170960,0.0028493332,0.17096,497.0
205,171792,0.0028632,0.171792,519.0
206,172628,0.0028771334,0.172628,471.0
207,173460,0.002891,0.17346,503.0
208,174296,0.0029049334,0.174296,522.0
209,175128,0.0029188,0.175128,497.0
210,175960,0.0029326666,0.17596,466.0
211,176796,0.0029466,0.176796,482.0
212,177628,0.0029604668,0.177628,511.0
213,178460,0.0029743332,0.17846,502.0
214,179296,0.0029882668,0.179296,526.0
215,180128,0.0030021332,0.180128,581.0
216,180960,0.003016,0.18096,566.0
217,181796,0.0030299334,0.181796,532.0
218,182628,0.0030438,0.182628,545.0
219,183460,0.0030576666,0.18346,528.0
220,184296,0.0030716,0.184296,486.0
221,185128,0.0030854666,0.185128,527.0
222,185960,0.0030993333,0.18596,531.0
223,186796,0.0031132668,0.186796,469.0
224,187628,0.0031271332,0.187628,463.0
225,188460,0.003141,0.18846,504.0
226,189296,0.0031549332,0.189296,498.0
227,190128,0.0031688,0.190128,499.0
228,190960,0.0031826666,0.19096,519.0
229,191796,0.0031966,0.191796,516.0
230,192628,0.0032104666,0.192628,487.0
231,193460,0.0032243333,0.19346,552.0
232,194296,0.0032382666,0.194296,563.0
233,195128,0.0032521333,0.195128,541.0
234,195960,0.003266,0.19596,504.0
235,196796,0.0032799332,0.196796,525.0
236,197628,0.0032938,0.197628,515.0
237,198464,0.0033077332,0.198464,523.0
238,199296,0.0033216,0.199296,516.0
239,200128,0.0033354666,0.200128,500.0
240,200964,0.0033494,0.200964,508.0
241,201796,0.0033632666,0.201796,497.0
242,202628,0.0033771333,0.202628,528.0
243,203464,0.0033910666,0.203464,488.0
244,204296,0.0034049333,0.204296,460.0
245,205128,0.0034188,0.205128,521.0
246,205964,0.0034327332,0.205964,499.0
247,206796,0.0034466,0.206796,513.0
248,207628,0.0034604666,0.207628,528.0
249,208464,0.0034744,0.208464,542.0
250,209296,0.0034882666,0.209296,517.0
251,210128,0.0035021333,0.210128,512.0
252,210964,0.0035160666,0.210964,530.0
253,211796,0.0035299333,0.211796,534.0
254,212628,0.0035438,0.212628,506.0
255,213464,0.0035577333,0.213464,488.0
256,214296,0.0035716,0.214296,497.0
257,215128,0.0035854666,0.215128,491.0
258,215964,0.0035994,0.215964,511.0
259,216796,0.0036132666,0.216796,530.0
260,217628,0.0036271333,0.217628,522.0
261,218464,0.0036410666,0.218464,515.0
262,219296,0.0036549333,0.219296,555.0
263,220128,0.0036688,0.220128,524.0
264,220964,0.0036827333,0.220964,536.0
265,221796,0.0036966,0.221796,556.0
266,222628,0.0037104667,0.222628,504.0
267,223464,0.0037244,0.223464,457.0
268,224296,0.0037382666,0.224296,464.0
269,225132,0.0037522,0.225132,498.0
270,225964,0.0037660666,0.225964,518.0
271,226796,0.0037799333,0.226796,498.0
272,227632,0.0037938666,0.227632,569.0
273,228464,0.0038077333,0.228464,513.0
274,229296,0.0038216,0.229296,511.0
275,230132,0.0038355333,0.230132,513.0
276,230964,0.0038494,0.230964,506.0
277,231796,0.0038632667,0.231796,517.0
278,232632,0.0038772,0.232632,517.0
279,233464,0.0038910666,0.233464,510.0
280,234296,0.0039049333,0.234296,467.0
281,235132,0.0039188666,0.235132,480.0
282,235964,0.0039327336,0.235964,531.0
283,236796,0.0039466,0.236796,506.0
284,237632,0.0039605335,0.237632,522.0
285,238464,0.0039744,0.238464,545.0
286,239296,0.0039882665,0.239296,542.0
287,240132,0.0040022,0.240132,524.0
288,240964,0.0040160664,0.240964,475.0
289,241796,0.0040299334,0.241796,529.0
290,242632,0.004043867,0.242632,520.0
291,243464,0.0040577333,0.243464,486.0
292,244296,0.0040716,0.244296,536.0
293,245132,0.0040855333,0.245132,483.0
294,245964,0.0040994,0.245964,499.0
295,246796,0.0041132667,0.246796,495.0
296,247632,0.0041272,0.247632,492.0
297,248464,0.0041410667,0.248464,530.0
298,249296,0.004154933,0.249296,499.0
299,250132,0.0041688667,0.250132,559.0
300,250964,0.004182733,0.250964,509.0
301,251796,0.0041966,0.251796,492.0
302,252632,0.004210533,0.252632,549.0
303,253464,0.0042244,0.253464,527.0
304,254300,0.0042383336,0.2543,483.0
305,255132,0.0042522,0.255132,486.0
306,255964,0.0042660665,0.255964,532.0
307,256800,0.00428,0.2568,559.0
308,257632,0.0042938665,0.257632,501.0
309,258464,0.0043077334,0.258464,551.0
310,259300,0.0043216664,0.2593,555.0
311,260132,0.0043355334,0.260132,511.0
312,260964,0.0043494,0.260964,493.0
313,261800,0.0043633333,0.2618,496.0
314,262632,0.0043772,0.262632,481.0
315,263464,0.0043910667,0.263464,459.0
316,264300,0.004405,0.2643,510.0
317,265132,0.0044188667,0.265132,510.0
318,265964,0.004432733,0.265964,517.0
319,266800,0.0044466667,0.2668,465.0
320,267632,0.004460533,0.267632,506.0
321,268464,0.0044744,0.268464,564.0
322,269300,0.004488333,0.2693,578.0
323,270132,0.0045022,0.270132,547.0
324,270964,0.0045160665,0.270964,536.0
325,271800,0.00453,0.2718,515.0
326,272632,0.0045438665,0.272632,513.0
327,273464,0.0045577334,0.273464,486.0
328,274300,0.0045716665,0.2743,477.0
329,275132,0.0045855334,0.275132,486.0
330,275964,0.0045994,0.275964,454.0
331,276800,0.0046133334,0.2768,492.0
332,277632,0.0046272,0.277632,502.0
333,278468,0.0046411334,0.278468,538.0
334,279300,0.004655,0.2793,544.0
335,280132,0.0046688667,0.280132,511.0
336,280968,0.0046828,0.280968,562.0
337,281800,0.0046966667,0.2818,557.0
338,282632,0.004710533,0.282632,560.0
339,283468,0.0047244667,0.283468,504.0
340,284300,0.004738333,0.2843,519.0
341,285132,0.0047522,0.285132,514.0
342,285968,0.004766133,0.285968,507.0
343,286800,0.00478,0.2868,500.0
344,287632,0.0047938665,0.287632,514.0
345,288468,0.0048078,0.288468,489.0
346,289300,0.0048216665,0.2893,521.0
347,290132,0.0048355334,0.290132,495.0
348,290968,0.0048494665,0.290968,527.0
349,291800,0.0048633334,0.2918,545.0
350,292632,0.0048772,0.292632,519.0
351,293468,0.0048911334,0.293468,526.0
352,294300,0.004905,0.2943,501.0
353,295132,0.004918867,0.295132,515.0
354,295968,0.0049328,0.295968,474.0
355,296800,0.004946667,0.2968,513.0
356,297632,0.004960533,0.297632,504.0
357,298468,0.0049744667,0.298468,493.0
358,299300,0.004988333,0.2993,492.0
359,300132,0.0050022,0.300132,511.0
360,300968,0.005016133,0.300968,494.0
361,301800,0.00503,0.3018,490.0
362,302632,0.0050438666,0.302632,516.0
363,303468,0.0050578,0.303468,557.0
364,304300,0.0050716666,0.3043,510.0
